24-05-08 16:34:14.859 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
24-05-08 16:34:14.941 [main] INFO  c.i.R.ReadArticlesServerApplication - Starting ReadArticlesServerApplication using Java 17.0.10 with PID 30612 (C:\Users\inkro\IdeaProjects\ReadArticlesServer\build\classes\java\main started by inkro in C:\Users\inkro\IdeaProjects\ReadArticlesServer)
24-05-08 16:34:14.943 [main] INFO  c.i.R.ReadArticlesServerApplication - No active profile set, falling back to 1 default profile: "default"
24-05-08 16:34:15.063 [main] INFO  o.s.b.d.c.l.DockerComposeLifecycleManager - Using Docker Compose file 'C:\Users\inkro\IdeaProjects\ReadArticlesServer\docker-compose.yml'
24-05-08 16:34:19.287 [OutputReader-stderr] INFO  o.s.b.docker.compose.core.DockerCli -  Container readarticlesserver-redis-1  Created
24-05-08 16:34:19.306 [OutputReader-stderr] INFO  o.s.b.docker.compose.core.DockerCli -  Container readarticlesserver-redis-1  Starting
24-05-08 16:34:20.985 [OutputReader-stderr] INFO  o.s.b.docker.compose.core.DockerCli -  Container readarticlesserver-redis-1  Started
24-05-08 16:34:20.986 [OutputReader-stderr] INFO  o.s.b.docker.compose.core.DockerCli -  Container readarticlesserver-redis-1  Waiting
24-05-08 16:34:21.512 [OutputReader-stderr] INFO  o.s.b.docker.compose.core.DockerCli -  Container readarticlesserver-redis-1  Healthy
24-05-08 16:34:23.584 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
24-05-08 16:34:23.586 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
24-05-08 16:34:23.817 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 221 ms. Found 4 JPA repository interfaces.
24-05-08 16:34:23.843 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
24-05-08 16:34:23.845 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
24-05-08 16:34:23.867 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.inkronsane.ReadArticlesServer.repository.ArticleRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
24-05-08 16:34:23.869 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.inkronsane.ReadArticlesServer.repository.CommentRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
24-05-08 16:34:23.869 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.inkronsane.ReadArticlesServer.repository.TagRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
24-05-08 16:34:23.869 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.inkronsane.ReadArticlesServer.repository.UserRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
24-05-08 16:34:23.870 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15 ms. Found 0 Redis repository interfaces.
24-05-08 16:34:24.644 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 2448 (http)
24-05-08 16:34:24.655 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-2448"]
24-05-08 16:34:24.658 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
24-05-08 16:34:24.658 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
24-05-08 16:34:24.742 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
24-05-08 16:34:24.742 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2182 ms
24-05-08 16:34:24.836 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
24-05-08 16:34:24.983 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.sqlite.jdbc4.JDBC4Connection@4070ace9
24-05-08 16:34:24.985 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
24-05-08 16:34:25.079 [main] INFO  o.f.c.i.license.VersionPrinter - Flyway Community Edition 9.22.3 by Redgate
24-05-08 16:34:25.080 [main] INFO  o.f.c.i.license.VersionPrinter - See release notes here: https://rd.gt/416ObMi
24-05-08 16:34:25.080 [main] INFO  o.f.c.i.license.VersionPrinter - 
24-05-08 16:34:25.095 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:sqlite:./src/main/resources/db/server.db (SQLite 3.43)
24-05-08 16:34:25.129 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 1 migration (execution time 00:00.015s)
24-05-08 16:34:25.133 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "main": 1
24-05-08 16:34:25.136 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "main" is up to date. No migration necessary.
24-05-08 16:34:25.276 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
24-05-08 16:34:25.403 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
24-05-08 16:34:25.452 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
24-05-08 16:34:25.806 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
24-05-08 16:34:27.186 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
24-05-08 16:34:27.190 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
24-05-08 16:34:27.489 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - JSqlParser is in classpath; If applicable, JSqlParser will be used
24-05-08 16:34:27.489 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
24-05-08 16:34:29.024 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
24-05-08 16:34:29.491 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5eea8854, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@18e69455, org.springframework.security.web.context.SecurityContextHolderFilter@39090979, org.springframework.security.web.header.HeaderWriterFilter@117bb3a4, org.springframework.web.filter.CorsFilter@4e850e68, org.springframework.security.web.authentication.logout.LogoutFilter@6175782c, com.inkronsane.ReadArticlesServer.security.JwtAuthFilter@776ae580, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@c2a7ded, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4ba61340, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5111de33, org.springframework.security.web.session.SessionManagementFilter@4d484eda, org.springframework.security.web.access.ExceptionTranslationFilter@73ccc475, org.springframework.security.web.access.intercept.AuthorizationFilter@54e24511]
24-05-08 16:34:30.046 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-2448"]
24-05-08 16:34:30.081 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 2448 (http) with context path ''
24-05-08 16:34:30.096 [main] INFO  c.i.R.ReadArticlesServerApplication - Started ReadArticlesServerApplication in 15.751 seconds (process running for 17.442)
24-05-08 16:34:35.139 [http-nio-2448-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
24-05-08 16:34:35.140 [http-nio-2448-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
24-05-08 16:34:35.143 [http-nio-2448-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
