24-06-03 10:51:00.690 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
24-06-03 10:51:01.937 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
24-06-03 10:51:02.070 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 120 ms. Found 5 JPA repository interfaces.
24-06-03 10:51:02.874 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 2448 (http)
24-06-03 10:51:02.887 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-2448"]
24-06-03 10:51:02.889 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
24-06-03 10:51:02.890 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
24-06-03 10:51:02.961 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
24-06-03 10:51:02.962 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2113 ms
24-06-03 10:51:03.119 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
24-06-03 10:51:04.490 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@3855d9b2
24-06-03 10:51:04.492 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
24-06-03 10:51:04.837 [main] INFO  o.f.c.i.license.VersionPrinter - Flyway Community Edition 9.22.3 by Redgate
24-06-03 10:51:04.837 [main] INFO  o.f.c.i.license.VersionPrinter - See release notes here: https://rd.gt/416ObMi
24-06-03 10:51:04.837 [main] INFO  o.f.c.i.license.VersionPrinter - 
24-06-03 10:51:05.128 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://rsa-p.postgres.database.azure.com:5432/postgres (PostgreSQL 16.2)
24-06-03 10:51:05.840 [main] WARN  o.f.c.i.database.base.Database - Flyway upgrade recommended: PostgreSQL 16.2 is newer than this version of Flyway and support has not been tested. The latest supported version of PostgreSQL is 15.
24-06-03 10:51:06.370 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 3 migrations (execution time 00:00.424s)
24-06-03 10:51:07.551 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 3
24-06-03 10:51:07.652 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
24-06-03 10:51:08.367 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
24-06-03 10:51:08.463 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
24-06-03 10:51:08.518 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
24-06-03 10:51:08.840 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
24-06-03 10:51:09.119 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
24-06-03 10:51:10.706 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
24-06-03 10:51:10.708 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
24-06-03 10:51:11.301 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
24-06-03 10:51:11.910 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
24-06-03 10:51:12.274 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5e3934db, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7f36b021, org.springframework.security.web.context.SecurityContextHolderFilter@5d237827, org.springframework.security.web.header.HeaderWriterFilter@4d92e9da, org.springframework.web.filter.CorsFilter@45a9f3d4, org.springframework.security.web.authentication.logout.LogoutFilter@1caf77f6, com.inkronsane.ReadArticlesServer.security.JwtAuthFilter@579cfcc4, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6508e82, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@54cb2cee, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@246ee6d8, org.springframework.security.web.session.SessionManagementFilter@4606e1a6, org.springframework.security.web.access.ExceptionTranslationFilter@3479b4cd, org.springframework.security.web.access.intercept.AuthorizationFilter@37a2d18c]
24-06-03 10:51:12.589 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-2448"]
24-06-03 10:51:12.616 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 2448 (http) with context path ''
24-06-03 10:51:15.787 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
24-06-03 10:51:15.789 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
24-06-03 10:51:16.821 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
